time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.011,16816.0,17056.0,14404.0,18006.0,17915.0,16915.0,16637.0,20228.0,20353.0,19023.0,20196.0,19575.0,17976.0,19762.0,
0.061,16824.0,17026.0,14388.0,17976.0,17892.0,16877.0,16622.0,20235.0,20322.0,19054.0,20180.0,19552.0,17983.0,19754.0,
0.111,16793.0,17011.0,14419.0,17999.0,17946.0,16877.0,16645.0,20183.0,20345.0,19046.0,20211.0,19537.0,18043.0,19754.0,
0.162,16824.0,17033.0,14373.0,17999.0,17908.0,16908.0,16614.0,20190.0,20330.0,19046.0,20180.0,19537.0,17976.0,19725.0,
0.212,16816.0,17033.0,14419.0,17999.0,17900.0,16892.0,16629.0,20213.0,20345.0,19069.0,20211.0,19552.0,17998.0,19746.0,
0.262,16824.0,17041.0,14404.0,18022.0,17885.0,16915.0,16637.0,20220.0,20338.0,19000.0,20219.0,19537.0,17991.0,19754.0,
0.312,16854.0,17041.0,14388.0,18022.0,17892.0,16892.0,16622.0,20220.0,20315.0,19031.0,20173.0,19560.0,18028.0,19754.0,
0.362,16809.0,17063.0,14457.0,18045.0,17900.0,16869.0,16614.0,20198.0,20345.0,19046.0,20172.0,19530.0,17976.0,19732.0,
0.413,16801.0,17041.0,14396.0,18014.0,17877.0,16915.0,16622.0,20273.0,20307.0,19016.0,20188.0,19552.0,17998.0,19754.0,
0.463,16793.0,17033.0,14381.0,17991.0,17915.0,16915.0,16629.0,20228.0,20307.0,19008.0,20188.0,19567.0,17991.0,19747.0,
0.513,16808.0,17033.0,14388.0,17953.0,17892.0,16900.0,16637.0,20235.0,20330.0,19023.0,20196.0,19552.0,17998.0,19739.0,
0.563,16801.0,17063.0,14419.0,17976.0,17930.0,16877.0,16622.0,20220.0,20315.0,19092.0,20172.0,19530.0,17991.0,19739.0,
0.613,16831.0,17026.0,14396.0,17991.0,17900.0,16885.0,16629.0,20198.0,20322.0,19031.0,20180.0,19552.0,17983.0,19761.0,
0.664,16808.0,17056.0,14396.0,18052.0,17915.0,16930.0,16614.0,20228.0,20368.0,19062.0,20211.0,19552.0,18005.0,19754.0,
0.714,16831.0,17063.0,14396.0,18022.0,17892.0,16854.0,16622.0,20183.0,20337.0,19016.0,20211.0,19545.0,18028.0,19761.0,
0.764,16816.0,17048.0,14373.0,18014.0,17930.0,16862.0,16622.0,20168.0,20322.0,19031.0,20203.0,19552.0,17976.0,19761.0,
0.814,16839.0,17056.0,14388.0,18006.0,17900.0,16892.0,16606.0,20235.0,20322.0,19008.0,20234.0,19552.0,17991.0,19754.0,
0.865,16831.0,17048.0,14373.0,18006.0,17915.0,16877.0,16614.0,20213.0,20345.0,19023.0,20196.0,19552.0,18043.0,19761.0,
0.915,16786.0,17048.0,14381.0,17976.0,17923.0,16869.0,16614.0,20213.0,20353.0,19070.0,20188.0,19522.0,18020.0,19747.0,
0.965,16778.0,17041.0,14373.0,17983.0,17900.0,16892.0,16614.0,20213.0,20322.0,19039.0,20196.0,19545.0,18005.0,19739.0,
1.015,16786.0,17085.0,14404.0,17991.0,17915.0,16877.0,16622.0,20183.0,20345.0,19023.0,20226.0,19582.0,17983.0,19747.0,
1.065,16824.0,17018.0,14388.0,17976.0,17915.0,16907.0,16614.0,20220.0,20307.0,19023.0,20219.0,19537.0,17968.0,19754.0,
1.115,16824.0,17048.0,14404.0,18029.0,17900.0,16884.0,16629.0,20220.0,20330.0,19000.0,20196.0,19545.0,18035.0,19739.0,
