Sym_Act,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.3011501431173562,SUCCESS,0.020433197962016092,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545281.667,
0.2590569561157796,SUCCESS,0.015829428749604357,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491952.933,
0.25252222222222215,SUCCESS,0.014624859942621226,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546515.307,
0.2486360856269113,SUCCESS,0.008465371997508223,PLANE,LARGE,COMPLIANT,FREE,FRONT,FAR,1785547223.534,
0.2484469938389633,SUCCESS,0.01150952054989066,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465401.070,
0.24296594982078853,SUCCESS,0.009929437298104036,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487336.589,
0.23757575757575755,SUCCESS,0.006963371216654732,ASYM_RECT,LARGE,RIGID,FREE,FRONT,FAR,1785498466.669,
0.233224043715847,SUCCESS,0.017126634164994967,CYLINDER,LARGE,RIGID,STRING,FRONT,CENTER,1785490640.384,
0.230934449093445,SUCCESS,0.018736075614606166,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488061.179,
0.2306144294583601,SUCCESS,0.01705434069310105,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486157.481,
0.23000713775874382,SUCCESS,0.013631263382159567,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477424.297,
0.22395934395934392,SUCCESS,0.01018483606204451,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487208.001,
0.2225781845919145,SUCCESS,0.008020944018479869,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546184.445,
0.21947764497565295,SUCCESS,0.015232465812018835,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455211.938,
0.21892531876138435,SUCCESS,0.008575845471603524,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497372.996,
0.21799097990979907,SUCCESS,0.012010688334642085,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478183.786,
0.21469952442715085,FAILURE,0.013839807833660775,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546945.516,
0.21354900828037743,SUCCESS,0.0188655846764389,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785464677.696,
0.2133496732026144,SUCCESS,0.02041549605509957,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481068.977,
0.21320813771518005,SUCCESS,0.0071571575966497885,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490136.421,
0.2128611111111111,SUCCESS,0.004968915854251551,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497972.545,
0.21068854088988315,SUCCESS,0.0077062676344576584,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785456771.011,
0.20962491153573953,SUCCESS,0.006397545300955644,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CENTER,1785500705.054,
0.20802206461780925,SUCCESS,0.01134134443848158,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486247.689,
0.20579505300353357,SUCCESS,0.005717077197788898,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785459876.544,
0.20506528701650648,SUCCESS,0.0067204549337094716,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497896.888,
0.20493620969612616,SUCCESS,0.005488478157231974,PLANE,LARGE,COMPLIANT,FREE,FRONT,FAR,1785547282.201,
0.20354226020892685,SUCCESS,0.008784127003511664,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497447.486,
0.20095639943741206,SUCCESS,0.011177823487687448,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460763.094,
0.19867505241090144,FAILURE,0.0054167407578246275,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545334.969,
0.19815164881327452,SUCCESS,0.009179396038383983,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785457144.476,
0.1964946536494653,SUCCESS,0.004849684437328768,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463230.265,
0.19540915032679737,SUCCESS,0.006385636002380322,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546617.288,
0.1943047238855622,SUCCESS,0.017724271186789126,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,FAR,1785484563.244,
0.19378927911275412,SUCCESS,0.007880847004583283,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546890.862,
0.19184313725490199,SUCCESS,0.00537858715235467,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546728.171,
0.1910849673202614,SUCCESS,0.004265125795084298,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460593.094,
